Date,year,month,week,X24hAverage,Ask,Bid,Last,TotalVolume,numberOfTransactions,nTweets,nNewsReuters,nNewsCryptocoin,searchInterest,nTweetsTopUser
2016-02-28,2016,2,9,431.57,434.61,434.37,434.4,51404.29,224697,NA,1,0,18,NA
2016-02-27,2016,2,9,434.59,434.78,434.5,434.91,42913.49,182423,NA,3,0,18,NA
2016-02-26,2016,2,9,426.16,434.54,434.16,434.29,57460.16,209880,NA,1,1,18,NA
2016-02-25,2016,2,9,424.41,423.85,423.51,423.92,52060.77,218699,NA,0,0,18,NA
2016-02-24,2016,2,8,423.45,426.39,426.28,426.41,68687.54,225112,NA,0,2,18,NA
2016-02-23,2016,2,8,429.96,421.92,421.57,421.83,96084.35,246578,NA,1,2,18,NA
2016-02-22,2016,2,8,438.44,440.83,440.07,440.91,58077.11,224964,NA,0,1,18,NA
2016-02-21,2016,2,8,439.84,439.97,439.86,439.87,102313.91,209276,NA,0,0,18,NA
2016-02-20,2016,2,8,431.45,437.95,437.52,437.86,113901.82,225259,NA,0,2,18,NA
2016-02-19,2016,2,8,420.47,420.63,420.37,420.62,52802.46,215552,NA,2,0,18,NA
2016-02-18,2016,2,8,420.62,421.92,421.6,421.85,76148.78,212765,NA,2,0,18,NA
2016-02-17,2016,2,7,415.46,417.2,417.04,417.35,94111.27,227403,NA,2,0,20,NA
2016-02-16,2016,2,7,404.48,407.44,407.16,407.5,69341.67,218780,NA,2,2,20,NA
2016-02-15,2016,2,7,404.56,401.09,400.77,400.94,84235.71,207397,NA,0,0,20,NA
2016-02-14,2016,2,7,400.55,407.63,407.47,407.6,76649.65,188927,NA,0,0,20,NA
2016-02-13,2016,2,7,390.47,393.08,392.85,392.98,48089.83,190560,NA,0,0,20,NA
2016-02-12,2016,2,7,383.37,386.95,386.7,386.94,57940.78,202906,NA,2,1,20,NA
2016-02-11,2016,2,7,379.49,379.1,378.85,379.02,68626.24,227463,NA,0,0,20,NA
2016-02-10,2016,2,6,380.59,381.33,381.11,381.54,97161.91,233941,NA,1,0,17,NA
2016-02-09,2016,2,6,374.06,374.88,374.57,374.85,57023.96,230799,NA,0,2,17,NA
2016-02-08,2016,2,6,377.53,373.54,373.35,373.49,64977.65,220559,NA,0,3,17,NA
2016-02-07,2016,2,6,378.12,377.12,376.96,377.1,41364.04,212134,NA,0,0,17,NA
2016-02-06,2016,2,6,377.89,376.56,376.44,377.07,81679.88,232752,NA,0,0,17,NA
